# $NAME, $QUALITY, $RUNNUM, $NTHR, $SSIM_tot, $SSIM_y, $SSIM_u, $SSIM_v, $PASS1, $PASS2, $TIME_real, $TIME_user, $TIME_sys, $SIZE, $NFRAMES
run_4k_q0_r0_n1 0 0 1 24.0033 25.0415 22.2037 22.7414 2695460 49624153 52700308 52336792 137448 15805014016 7441
run_4k_q4_r0_n1 4 0 1 21.2139 21.8956 19.8274 20.4043 2700744 48414766 51479925 51129780 138312 15805014016 14063
run_4k_q7_r0_n1 7 0 1 19.5653 19.8875 18.692 19.2987 2700835 40849198 43917890 43564808 142756 11922554973 17616
run_4k_q11_r0_n1 11 0 1 18.2237 18.2768 17.8183 18.4429 2669592 35380546 38408609 38062856 136524 7513882879 17616
run_4k_q14_r0_n1 14 0 1 17.1737 17.0156 17.198 17.8426 2709166 33628837 36700161 36351188 139536 5188185679 17616
run_4k_q18_r0_n1 18 0 1 16.6163 16.3325 16.9246 17.5939 2711060 31680504 34760261 34403928 137652 3947062172 17616
run_4k_q21_r0_n1 21 0 1 16.3054 15.9749 16.7281 17.4046 2725470 29029526 32128658 31767688 137996 3280182601 17616
run_4k_q25_r0_n1 25 0 1 16.0134 15.6439 16.5365 17.2157 2698722 27096546 30177601 29808256 138076 2681965136 17616
run_4k_q28_r0_n1 28 0 1 15.7025 15.3256 16.2467 16.9224 2676683 24072421 27138703 26761492 142200 2135382299 17616
run_4k_q32_r0_n1 32 0 1 15.3444 14.9689 15.8942 16.5499 2705486 20940430 24021304 23658480 143876 1584271274 17616
run_4k_q35_r0_n1 35 0 1 15.1202 14.7598 15.6422 16.2712 2697321 19387912 22454592 22098320 144344 1342637134 17616
run_4k_q39_r0_n1 39 0 1 14.7859 14.4353 15.3078 15.8822 2700340 17773206 20832612 20486576 138364 999162898 17616
run_4k_q42_r0_n1 42 0 1 14.5252 14.1966 15.0124 15.5391 2697380 16373005 19430784 19083588 141440 781742917 17616
run_4k_q46_r0_n1 46 0 1 14.2226 13.9093 14.7124 15.1516 2701413 14720552 17783804 17434292 140248 571665606 17616
run_4k_q49_r0_n1 49 0 1 14.017 13.7086 14.5212 14.9037 2679710 13978009 17022306 16670984 139784 474507190 17616
run_4k_q53_r0_n1 53 0 1 13.7256 13.4292 14.2327 14.5471 2699550 12819282 15901186 15532888 141112 373665188 17616
run_4k_q56_r0_n1 56 0 1 13.4838 13.1951 13.9977 14.2584 2712041 12096758 15190972 14822792 141084 314816191 17616
run_4k_q60_r0_n1 60 0 1 13.0413 12.7498 13.5985 13.7842 2726260 11323757 14416027 14063176 142008 251664742 17616
run_4k_q63_r0_n1 63 0 1 12.6419 12.3327 13.2694 13.4027 2717563 10696631 13774605 13425840 143300 210474895 17616
