0:[(0.001394033432006836, 'XCEncSettingsState'), (1.1227021217346191, 'XCEncLoopState'), (1.1228280067443848, 'XCEncPreRunState'), (1.1252400875091553, 'XCEncRunState'), (9.726376056671143, 'XCEncFinishState'), (9.975471019744873, 'XCEncQuitState'), (9.975600004196167, 'FinalState')]
1:[(0.0016732215881347656, 'XCEncSettingsState'), (1.179589033126831, 'XCEncLoopState'), (1.179734230041504, 'XCEncPreRunState'), (1.1815640926361084, 'XCEncRunState'), (9.491125106811523, 'XCEncFinishState'), (9.759581089019775, 'XCEncQuitState'), (9.759690046310425, 'FinalState')]
2:[(0.017055034637451172, 'XCEncSettingsState'), (1.9190912246704102, 'XCEncLoopState'), (1.9191501140594482, 'XCEncPreRunState'), (1.9253051280975342, 'XCEncRunState'), (9.602309226989746, 'XCEncFinishState'), (9.810468196868896, 'XCEncQuitState'), (9.810583114624023, 'FinalState')]
3:[(0.01736617088317871, 'XCEncSettingsState'), (1.2249670028686523, 'XCEncLoopState'), (1.2251231670379639, 'XCEncPreRunState'), (1.2276391983032227, 'XCEncRunState'), (6.286388158798218, 'XCEncFinishState'), (6.4832470417022705, 'XCEncQuitState'), (6.483425140380859, 'FinalState')]
4:[(0.05767321586608887, 'XCEncSettingsState'), (2.047473192214966, 'XCEncLoopState'), (2.0475401878356934, 'XCEncPreRunState'), (2.0553221702575684, 'XCEncRunState'), (9.95140814781189, 'XCEncFinishState'), (10.16268801689148, 'XCEncQuitState'), (10.162800073623657, 'FinalState')]
5:[(0.06421613693237305, 'XCEncSettingsState'), (1.2766821384429932, 'XCEncLoopState'), (1.2768080234527588, 'XCEncPreRunState'), (1.2786600589752197, 'XCEncRunState'), (8.872647047042847, 'XCEncFinishState'), (9.04487419128418, 'XCEncQuitState'), (9.045003175735474, 'FinalState')]
6:[(0.06611800193786621, 'XCEncSettingsState'), (1.218055009841919, 'XCEncLoopState'), (1.2182111740112305, 'XCEncPreRunState'), (1.2202141284942627, 'XCEncRunState'), (9.160981178283691, 'XCEncFinishState'), (9.380153179168701, 'XCEncQuitState'), (9.380282163619995, 'FinalState')]
7:[(0.06785702705383301, 'XCEncSettingsState'), (1.256683111190796, 'XCEncLoopState'), (1.2568120956420898, 'XCEncPreRunState'), (1.261972188949585, 'XCEncRunState'), (9.120124101638794, 'XCEncFinishState'), (9.392863035202026, 'XCEncQuitState'), (9.393006086349487, 'FinalState')]
8:[(0.07122302055358887, 'XCEncSettingsState'), (1.2314770221710205, 'XCEncLoopState'), (1.2316110134124756, 'XCEncPreRunState'), (1.2340161800384521, 'XCEncRunState'), (9.24455213546753, 'XCEncFinishState'), (9.407835006713867, 'XCEncQuitState'), (9.407979011535645, 'FinalState')]
9:[(0.07495403289794922, 'XCEncSettingsState'), (1.2506811618804932, 'XCEncLoopState'), (1.2508141994476318, 'XCEncPreRunState'), (1.2527401447296143, 'XCEncRunState'), (9.116988182067871, 'XCEncFinishState'), (9.30117416381836, 'XCEncQuitState'), (9.30133318901062, 'FinalState')]
10:[(0.07848501205444336, 'XCEncSettingsState'), (2.1141531467437744, 'XCEncLoopState'), (2.11421799659729, 'XCEncPreRunState'), (2.125817060470581, 'XCEncRunState'), (9.424044132232666, 'XCEncFinishState'), (9.590325117111206, 'XCEncQuitState'), (9.590441226959229, 'FinalState')]
