0:[(0.0430450439453125, 'XCEncSettingsState'), (3.1035521030426025, 'XCEncLoopState'), (3.1036131381988525, 'XCEncPreRunState'), (3.114110231399536, 'XCEncRunState'), (12.29598617553711, 'XCEncDumpState'), (15.634902000427246, 'XCEncLoopState'), (15.635067224502563, 'XCEncFinishState'), (15.831558227539062, 'XCEncQuitState'), (15.831688165664673, 'FinalState')]
4:[(0.14363312721252441, 'XCEncSettingsState'), (2.31740403175354, 'XCEncLoopState'), (2.317488193511963, 'XCEncPreRunState'), (2.325360059738159, 'XCEncRunState'), (11.550315141677856, 'XCEncDumpState'), (15.000652074813843, 'XCEncLoopState'), (15.000791072845459, 'XCEncFinishState'), (15.330121040344238, 'XCEncQuitState'), (15.330267190933228, 'FinalState')]
8:[(0.2839701175689697, 'XCEncSettingsState'), (2.458623170852661, 'XCEncLoopState'), (2.4586830139160156, 'XCEncPreRunState'), (2.4659461975097656, 'XCEncRunState'), (11.015328168869019, 'XCEncDumpState'), (14.154758214950562, 'XCEncLoopState'), (14.154967069625854, 'XCEncFinishState'), (14.329570055007935, 'XCEncQuitState'), (14.329788208007812, 'FinalState')]
12:[(0.39041805267333984, 'XCEncSettingsState'), (4.27035117149353, 'XCEncLoopState'), (4.27049708366394, 'XCEncPreRunState'), (4.2786781787872314, 'XCEncRunState'), (22.843345165252686, 'XCEncDumpState'), (27.86025619506836, 'XCEncLoopState'), (27.860321044921875, 'XCEncFinishState'), (28.167028188705444, 'XCEncQuitState'), (28.167134046554565, 'FinalState')]
16:[(1.087801218032837, 'XCEncSettingsState'), (4.349743127822876, 'XCEncLoopState'), (4.349881172180176, 'XCEncPreRunState'), (4.360738039016724, 'XCEncRunState'), (22.396241188049316, 'XCEncDumpState'), (27.179243087768555, 'XCEncLoopState'), (27.17939305305481, 'XCEncFinishState'), (27.53777003288269, 'XCEncQuitState'), (27.5378360748291, 'FinalState')]
20:[(1.3200671672821045, 'XCEncSettingsState'), (4.535194158554077, 'XCEncLoopState'), (4.535355091094971, 'XCEncPreRunState'), (4.5425591468811035, 'XCEncRunState'), (22.02435612678528, 'XCEncDumpState'), (26.64637517929077, 'XCEncLoopState'), (26.646485090255737, 'XCEncFinishState'), (26.880561113357544, 'XCEncQuitState'), (26.880643129348755, 'FinalState')]
24:[(1.3204472064971924, 'XCEncSettingsState'), (5.232671022415161, 'XCEncLoopState'), (5.232767105102539, 'XCEncPreRunState'), (5.240831136703491, 'XCEncRunState'), (22.987951040267944, 'XCEncDumpState'), (27.742785215377808, 'XCEncLoopState'), (27.74285316467285, 'XCEncFinishState'), (28.071730136871338, 'XCEncQuitState'), (28.07186007499695, 'FinalState')]
28:[(1.320730209350586, 'XCEncSettingsState'), (5.24714207649231, 'XCEncLoopState'), (5.247233152389526, 'XCEncPreRunState'), (5.251053094863892, 'XCEncRunState'), (21.335312128067017, 'XCEncDumpState'), (26.00579309463501, 'XCEncLoopState'), (26.005906105041504, 'XCEncFinishState'), (26.191424131393433, 'XCEncQuitState'), (26.191548109054565, 'FinalState')]
32:[(1.3222670555114746, 'XCEncSettingsState'), (4.702362060546875, 'XCEncLoopState'), (4.702479124069214, 'XCEncPreRunState'), (4.711817026138306, 'XCEncRunState'), (21.367724180221558, 'XCEncDumpState'), (26.07603406906128, 'XCEncLoopState'), (26.07611608505249, 'XCEncFinishState'), (26.55890917778015, 'XCEncQuitState'), (26.559006214141846, 'FinalState')]
36:[(1.3225281238555908, 'XCEncSettingsState'), (3.6309051513671875, 'XCEncLoopState'), (3.631078004837036, 'XCEncPreRunState'), (3.641648054122925, 'XCEncRunState'), (20.310180187225342, 'XCEncDumpState'), (24.96954607963562, 'XCEncLoopState'), (24.96974515914917, 'XCEncFinishState'), (25.27959108352661, 'XCEncQuitState'), (25.279730081558228, 'FinalState')]
40:[(1.3228142261505127, 'XCEncSettingsState'), (5.298166036605835, 'XCEncLoopState'), (5.298274993896484, 'XCEncPreRunState'), (5.306842088699341, 'XCEncRunState'), (21.96702814102173, 'XCEncDumpState'), (26.102210998535156, 'XCEncLoopState'), (26.102349996566772, 'XCEncFinishState'), (26.322334051132202, 'XCEncQuitState'), (26.322452068328857, 'FinalState')]
