0:[(0.01586318016052246, 'XCEncSettingsState'), (1.182690143585205, 'XCEncLoopState'), (1.182861089706421, 'XCEncPreRunState'), (1.1880481243133545, 'XCEncRunState'), (14.995237112045288, 'XCEncFinishState'), (15.253010034561157, 'XCEncQuitState'), (15.253435134887695, 'FinalState')]
1:[(0.08270120620727539, 'XCEncSettingsState'), (1.212501049041748, 'XCEncLoopState'), (1.2125611305236816, 'XCEncPreRunState'), (1.2220330238342285, 'XCEncRunState'), (16.51677918434143, 'XCEncFinishState'), (16.72219705581665, 'XCEncQuitState'), (16.722318172454834, 'FinalState')]
2:[(0.08897900581359863, 'XCEncSettingsState'), (2.0362401008605957, 'XCEncLoopState'), (2.0362961292266846, 'XCEncPreRunState'), (2.0458240509033203, 'XCEncRunState'), (15.369633197784424, 'XCEncFinishState'), (15.697200059890747, 'XCEncQuitState'), (15.697343111038208, 'FinalState')]
3:[(0.15396404266357422, 'XCEncSettingsState'), (2.8413970470428467, 'XCEncLoopState'), (2.8415231704711914, 'XCEncPreRunState'), (2.8465092182159424, 'XCEncRunState'), (16.68101215362549, 'XCEncFinishState'), (16.891061067581177, 'XCEncQuitState'), (16.891252994537354, 'FinalState')]
4:[(0.17635512351989746, 'XCEncSettingsState'), (1.2933990955352783, 'XCEncLoopState'), (1.2934660911560059, 'XCEncPreRunState'), (1.30035400390625, 'XCEncRunState'), (16.56185817718506, 'XCEncFinishState'), (16.780192136764526, 'XCEncQuitState'), (16.780327081680298, 'FinalState')]
5:[(0.17923808097839355, 'XCEncSettingsState'), (1.57364821434021, 'XCEncLoopState'), (1.573721170425415, 'XCEncPreRunState'), (1.5809681415557861, 'XCEncRunState'), (14.982232093811035, 'XCEncFinishState'), (15.130200147628784, 'XCEncQuitState'), (15.130350112915039, 'FinalState')]
6:[(0.1796112060546875, 'XCEncSettingsState'), (2.131615161895752, 'XCEncLoopState'), (2.13167405128479, 'XCEncPreRunState'), (2.1395461559295654, 'XCEncRunState'), (17.91141700744629, 'XCEncFinishState'), (18.218772172927856, 'XCEncQuitState'), (18.218905210494995, 'FinalState')]
7:[(0.18305611610412598, 'XCEncSettingsState'), (1.3286011219024658, 'XCEncLoopState'), (1.328665018081665, 'XCEncPreRunState'), (1.341722011566162, 'XCEncRunState'), (15.855633020401001, 'XCEncFinishState'), (16.069133043289185, 'XCEncQuitState'), (16.069267988204956, 'FinalState')]
8:[(0.1837911605834961, 'XCEncSettingsState'), (1.4135510921478271, 'XCEncLoopState'), (1.413633108139038, 'XCEncPreRunState'), (1.4209620952606201, 'XCEncRunState'), (15.358326196670532, 'XCEncFinishState'), (15.571044206619263, 'XCEncQuitState'), (15.571197986602783, 'FinalState')]
9:[(0.184434175491333, 'XCEncSettingsState'), (2.2518680095672607, 'XCEncLoopState'), (2.251924991607666, 'XCEncPreRunState'), (2.2584781646728516, 'XCEncRunState'), (17.500341176986694, 'XCEncFinishState'), (17.701964139938354, 'XCEncQuitState'), (17.702089071273804, 'FinalState')]
10:[(0.18925118446350098, 'XCEncSettingsState'), (1.3509039878845215, 'XCEncLoopState'), (1.3509740829467773, 'XCEncPreRunState'), (1.3536779880523682, 'XCEncRunState'), (14.89470911026001, 'XCEncFinishState'), (15.145629167556763, 'XCEncQuitState'), (15.145764112472534, 'FinalState')]
11:[(0.19824600219726562, 'XCEncSettingsState'), (1.3541581630706787, 'XCEncLoopState'), (1.354229211807251, 'XCEncPreRunState'), (1.36356520652771, 'XCEncRunState'), (16.958218097686768, 'XCEncFinishState'), (17.159912109375, 'XCEncQuitState'), (17.160032987594604, 'FinalState')]
12:[(0.1990370750427246, 'XCEncSettingsState'), (1.3177142143249512, 'XCEncLoopState'), (1.3177721500396729, 'XCEncPreRunState'), (1.3222110271453857, 'XCEncRunState'), (15.718525171279907, 'XCEncFinishState'), (15.917768001556396, 'XCEncQuitState'), (15.917893171310425, 'FinalState')]
