0:[(1.1440019607543945, 'XCEncSettingsState'), (4.858946084976196, 'XCEncLoopState'), (4.8590779304504395, 'XCEncPreRunState'), (4.865303993225098, 'XCEncRunState'), (20.293556928634644, 'XCEncDumpState'), (24.79310894012451, 'XCEncLoopState'), (24.79326295852661, 'XCEncFinishState'), (25.071227073669434, 'XCEncQuitState'), (25.07136297225952, 'FinalState')]
2:[(1.1449599266052246, 'XCEncSettingsState'), (4.987915992736816, 'XCEncLoopState'), (4.988012075424194, 'XCEncPreRunState'), (4.996783971786499, 'XCEncRunState'), (24.93446111679077, 'XCEncDumpState'), (29.923896074295044, 'XCEncLoopState'), (29.92409896850586, 'XCEncFinishState'), (30.11338496208191, 'XCEncQuitState'), (30.113492012023926, 'FinalState')]
4:[(1.148015022277832, 'XCEncSettingsState'), (4.8693459033966064, 'XCEncLoopState'), (4.869455099105835, 'XCEncPreRunState'), (4.874885082244873, 'XCEncRunState'), (44.25273108482361, 'XCEncDumpState'), (47.953388929367065, 'XCEncLoopState'), (47.95354604721069, 'XCEncFinishState'), (48.23598003387451, 'XCEncQuitState'), (48.23610591888428, 'FinalState')]
6:[(1.148658037185669, 'XCEncSettingsState'), (5.006414890289307, 'XCEncLoopState'), (5.0064990520477295, 'XCEncPreRunState'), (5.010823011398315, 'XCEncRunState'), (45.3920841217041, 'XCEncDumpState'), (49.42801094055176, 'XCEncLoopState'), (49.42817211151123, 'XCEncFinishState'), (49.794512033462524, 'XCEncQuitState'), (49.79465699195862, 'FinalState')]
8:[(1.1547749042510986, 'XCEncSettingsState'), (4.9925079345703125, 'XCEncLoopState'), (4.992595911026001, 'XCEncPreRunState'), (4.998869895935059, 'XCEncRunState'), (32.39750409126282, 'XCEncDumpState'), (38.192933082580566, 'XCEncLoopState'), (38.19305610656738, 'XCEncFinishState'), (38.427995920181274, 'XCEncQuitState'), (38.428093910217285, 'FinalState')]
10:[(1.1597929000854492, 'XCEncSettingsState'), (4.951940059661865, 'XCEncLoopState'), (4.952054977416992, 'XCEncPreRunState'), (4.957498073577881, 'XCEncRunState'), (29.209840059280396, 'XCEncDumpState'), (34.35655999183655, 'XCEncLoopState'), (34.356719970703125, 'XCEncFinishState'), (34.65475296974182, 'XCEncQuitState'), (34.65490198135376, 'FinalState')]
12:[(1.1681959629058838, 'XCEncSettingsState'), (5.0226569175720215, 'XCEncLoopState'), (5.0227370262146, 'XCEncPreRunState'), (5.02667498588562, 'XCEncRunState'), (31.309257984161377, 'XCEncDumpState'), (36.53163290023804, 'XCEncLoopState'), (36.531713008880615, 'XCEncFinishState'), (36.78264307975769, 'XCEncQuitState'), (36.78275799751282, 'FinalState')]
14:[(1.1762499809265137, 'XCEncSettingsState'), (5.026741027832031, 'XCEncLoopState'), (5.026822090148926, 'XCEncPreRunState'), (5.033061981201172, 'XCEncRunState'), (27.63538408279419, 'XCEncDumpState'), (32.84848403930664, 'XCEncLoopState'), (32.848654985427856, 'XCEncFinishState'), (33.153002977371216, 'XCEncQuitState'), (33.15309405326843, 'FinalState')]
16:[(1.180980920791626, 'XCEncSettingsState'), (4.988265037536621, 'XCEncLoopState'), (4.988379001617432, 'XCEncPreRunState'), (4.996870040893555, 'XCEncRunState'), (28.485790967941284, 'XCEncDumpState'), (34.18425798416138, 'XCEncLoopState'), (34.18440294265747, 'XCEncFinishState'), (34.50442099571228, 'XCEncQuitState'), (34.50452399253845, 'FinalState')]
18:[(1.1819360256195068, 'XCEncSettingsState'), (4.921157121658325, 'XCEncLoopState'), (4.921264886856079, 'XCEncPreRunState'), (4.9263999462127686, 'XCEncRunState'), (30.498428106307983, 'XCEncDumpState'), (35.85338091850281, 'XCEncLoopState'), (35.85350489616394, 'XCEncFinishState'), (36.08230900764465, 'XCEncQuitState'), (36.08238911628723, 'FinalState')]
20:[(1.1826539039611816, 'XCEncSettingsState'), (5.009220123291016, 'XCEncLoopState'), (5.009303092956543, 'XCEncPreRunState'), (5.01447606086731, 'XCEncRunState'), (32.93115305900574, 'XCEncDumpState'), (38.410974979400635, 'XCEncLoopState'), (38.411104917526245, 'XCEncFinishState'), (38.636773109436035, 'XCEncQuitState'), (38.63692593574524, 'FinalState')]
22:[(1.183445930480957, 'XCEncSettingsState'), (3.8456149101257324, 'XCEncLoopState'), (3.8457190990448, 'XCEncPreRunState'), (3.853740930557251, 'XCEncRunState'), (30.403461933135986, 'XCEncDumpState'), (35.683799028396606, 'XCEncLoopState'), (35.683960914611816, 'XCEncFinishState'), (35.940146923065186, 'XCEncQuitState'), (35.940279960632324, 'FinalState')]
24:[(1.1841979026794434, 'XCEncSettingsState'), (4.944143056869507, 'XCEncLoopState'), (4.944262981414795, 'XCEncPreRunState'), (4.949537038803101, 'XCEncRunState'), (28.019912004470825, 'XCEncDumpState'), (32.25699806213379, 'XCEncLoopState'), (32.25710606575012, 'XCEncFinishState'), (32.50343203544617, 'XCEncQuitState'), (32.503565073013306, 'FinalState')]
26:[(1.1849501132965088, 'XCEncSettingsState'), (4.962825059890747, 'XCEncLoopState'), (4.962928056716919, 'XCEncPreRunState'), (4.988583087921143, 'XCEncRunState'), (29.71946406364441, 'XCEncDumpState'), (35.011385917663574, 'XCEncLoopState'), (35.011446952819824, 'XCEncFinishState'), (35.30794405937195, 'XCEncQuitState'), (35.30810594558716, 'FinalState')]
28:[(1.1892290115356445, 'XCEncSettingsState'), (4.988656044006348, 'XCEncLoopState'), (4.988742113113403, 'XCEncPreRunState'), (4.996944904327393, 'XCEncRunState'), (29.464876890182495, 'XCEncDumpState'), (35.12066197395325, 'XCEncLoopState'), (35.12079906463623, 'XCEncFinishState'), (35.42193293571472, 'XCEncQuitState'), (35.422054052352905, 'FinalState')]
