0:[(0.06803011894226074, 'DumpSSIMRetrieveState'), (0.6008810997009277, 'DumpSSIMState'), (126.90640497207642, 'FinalState')]
16:[(0.6732831001281738, 'DumpSSIMRetrieveState'), (2.8368451595306396, 'DumpSSIMState'), (300.71904611587524, 'ErrorState')]
32:[(1.0651180744171143, 'DumpSSIMRetrieveState'), (1.9088280200958252, 'DumpSSIMState'), (137.95937514305115, 'FinalState')]
48:[(1.065486192703247, 'DumpSSIMRetrieveState'), (1.8581211566925049, 'DumpSSIMState'), (148.51835107803345, 'FinalState')]
64:[(1.2188889980316162, 'DumpSSIMRetrieveState'), (2.6675171852111816, 'DumpSSIMState'), (144.64107513427734, 'FinalState')]
80:[(1.371899127960205, 'DumpSSIMRetrieveState'), (2.362993001937866, 'DumpSSIMState'), (133.8232500553131, 'FinalState')]
96:[(1.3721389770507812, 'DumpSSIMRetrieveState'), (3.93245005607605, 'DumpSSIMState'), (181.26822113990784, 'FinalState')]
112:[(1.3730180263519287, 'DumpSSIMRetrieveState'), (2.4843051433563232, 'DumpSSIMState'), (143.86041712760925, 'FinalState')]
128:[(1.3739750385284424, 'DumpSSIMRetrieveState'), (2.493939161300659, 'DumpSSIMState'), (142.2008500099182, 'FinalState')]
144:[(1.374880075454712, 'DumpSSIMRetrieveState'), (2.3579039573669434, 'DumpSSIMState'), (148.7656021118164, 'FinalState')]
160:[(1.3755409717559814, 'DumpSSIMRetrieveState'), (3.515666961669922, 'DumpSSIMState'), (133.01376008987427, 'FinalState')]
176:[(1.3763341903686523, 'DumpSSIMRetrieveState'), (2.968546152114868, 'DumpSSIMState'), (133.32027316093445, 'FinalState')]
192:[(1.3769781589508057, 'DumpSSIMRetrieveState'), (3.7293660640716553, 'DumpSSIMState'), (127.23748898506165, 'FinalState')]
208:[(1.3839170932769775, 'DumpSSIMRetrieveState'), (2.1691789627075195, 'DumpSSIMState'), (161.80249118804932, 'FinalState')]
224:[(1.4061951637268066, 'DumpSSIMRetrieveState'), (2.1965951919555664, 'DumpSSIMState'), (71.06393218040466, 'FinalState')]
240:[(1.4142580032348633, 'DumpSSIMRetrieveState'), (2.353389024734497, 'DumpSSIMState'), (131.7202970981598, 'FinalState')]
256:[(1.424260139465332, 'DumpSSIMRetrieveState'), (2.7993481159210205, 'DumpSSIMState'), (149.85257196426392, 'FinalState')]
272:[(1.4279701709747314, 'DumpSSIMRetrieveState'), (3.041328191757202, 'DumpSSIMState'), (132.40202713012695, 'FinalState')]
288:[(1.4289071559906006, 'DumpSSIMRetrieveState'), (2.368649959564209, 'DumpSSIMState'), (146.96340012550354, 'FinalState')]
304:[(1.4294631481170654, 'DumpSSIMRetrieveState'), (2.7056450843811035, 'DumpSSIMState'), (176.00352215766907, 'FinalState')]
320:[(1.4300401210784912, 'DumpSSIMRetrieveState'), (3.8661720752716064, 'DumpSSIMState'), (132.74199509620667, 'FinalState')]
336:[(1.4306681156158447, 'DumpSSIMRetrieveState'), (2.6985321044921875, 'DumpSSIMState'), (180.61775612831116, 'FinalState')]
352:[(1.4313030242919922, 'DumpSSIMRetrieveState'), (2.784769058227539, 'DumpSSIMState'), (128.44674801826477, 'FinalState')]
368:[(1.4342901706695557, 'DumpSSIMRetrieveState'), (2.162714958190918, 'DumpSSIMState'), (69.98536705970764, 'FinalState')]
384:[(1.4396710395812988, 'DumpSSIMRetrieveState'), (2.6701090335845947, 'DumpSSIMState'), (184.78416109085083, 'FinalState')]
400:[(1.4573941230773926, 'DumpSSIMRetrieveState'), (3.302428960800171, 'DumpSSIMState'), (133.65200805664062, 'FinalState')]
416:[(1.4626750946044922, 'DumpSSIMRetrieveState'), (2.848337173461914, 'DumpSSIMState'), (130.7048840522766, 'FinalState')]
432:[(1.464022159576416, 'DumpSSIMRetrieveState'), (2.6546871662139893, 'DumpSSIMState'), (138.38472318649292, 'FinalState')]
448:[(1.468322992324829, 'DumpSSIMRetrieveState'), (2.5360021591186523, 'DumpSSIMState'), (130.11081409454346, 'FinalState')]
464:[(1.4725770950317383, 'DumpSSIMRetrieveState'), (3.4013900756835938, 'DumpSSIMState'), (131.87663316726685, 'FinalState')]
480:[(1.4767591953277588, 'DumpSSIMRetrieveState'), (2.3498101234436035, 'DumpSSIMState'), (151.334468126297, 'FinalState')]
