0:[(0.03338503837585449, 'XCEncSettingsState'), (1.8602299690246582, 'XCEncLoopState'), (1.86030912399292, 'XCEncPreRunState'), (1.8676130771636963, 'XCEncRunState'), (11.56705117225647, 'XCEncDumpState'), (14.80158019065857, 'XCEncLoopState'), (14.801661968231201, 'XCEncFinishState'), (14.997328996658325, 'XCEncQuitState'), (14.997449159622192, 'FinalState')]
2:[(0.06355810165405273, 'XCEncSettingsState'), (1.161332130432129, 'XCEncLoopState'), (1.161545991897583, 'XCEncPreRunState'), (1.1638891696929932, 'XCEncRunState'), (9.800568103790283, 'XCEncDumpState'), (13.139132976531982, 'XCEncLoopState'), (13.1391921043396, 'XCEncFinishState'), (13.400537967681885, 'XCEncQuitState'), (13.400627136230469, 'FinalState')]
4:[(0.494434118270874, 'XCEncSettingsState'), (1.6526761054992676, 'XCEncLoopState'), (1.6527421474456787, 'XCEncPreRunState'), (1.657837152481079, 'XCEncRunState'), (10.516180038452148, 'XCEncDumpState'), (13.892873048782349, 'XCEncLoopState'), (13.893020153045654, 'XCEncFinishState'), (14.2189781665802, 'XCEncQuitState'), (14.21910810470581, 'FinalState')]
6:[(0.5732150077819824, 'XCEncSettingsState'), (2.1334621906280518, 'XCEncLoopState'), (2.13352108001709, 'XCEncPreRunState'), (2.1444201469421387, 'XCEncRunState'), (11.072471141815186, 'XCEncDumpState'), (14.318773031234741, 'XCEncLoopState'), (14.318888187408447, 'XCEncFinishState'), (14.513432025909424, 'XCEncQuitState'), (14.51352596282959, 'FinalState')]
8:[(0.607863187789917, 'XCEncSettingsState'), (1.8122141361236572, 'XCEncLoopState'), (1.8122780323028564, 'XCEncPreRunState'), (1.8176701068878174, 'XCEncRunState'), (10.599554061889648, 'XCEncDumpState'), (13.693804025650024, 'XCEncLoopState'), (13.693928956985474, 'XCEncFinishState'), (13.94103217124939, 'XCEncQuitState'), (13.941167116165161, 'FinalState')]
10:[(0.6934821605682373, 'XCEncSettingsState'), (1.812420129776001, 'XCEncLoopState'), (1.8124680519104004, 'XCEncPreRunState'), (1.8183741569519043, 'XCEncRunState'), (9.537791013717651, 'XCEncDumpState'), (12.756985187530518, 'XCEncLoopState'), (12.757121086120605, 'XCEncFinishState'), (12.971794128417969, 'XCEncQuitState'), (12.971951007843018, 'FinalState')]
12:[(0.8612110614776611, 'XCEncSettingsState'), (2.009809970855713, 'XCEncLoopState'), (2.009871006011963, 'XCEncPreRunState'), (2.0205249786376953, 'XCEncRunState'), (10.05694317817688, 'XCEncDumpState'), (13.376013994216919, 'XCEncLoopState'), (13.376106023788452, 'XCEncFinishState'), (13.58769702911377, 'XCEncQuitState'), (13.587802171707153, 'FinalState')]
14:[(0.8996090888977051, 'XCEncSettingsState'), (2.0100150108337402, 'XCEncLoopState'), (2.0100631713867188, 'XCEncPreRunState'), (2.0205800533294678, 'XCEncRunState'), (13.729762077331543, 'XCEncDumpState'), (17.311280965805054, 'XCEncLoopState'), (17.31141996383667, 'XCEncFinishState'), (17.57306218147278, 'XCEncQuitState'), (17.573158979415894, 'FinalState')]
16:[(0.9061219692230225, 'XCEncSettingsState'), (2.0686070919036865, 'XCEncLoopState'), (2.068665027618408, 'XCEncPreRunState'), (2.0807340145111084, 'XCEncRunState'), (13.601871013641357, 'XCEncDumpState'), (17.358489990234375, 'XCEncLoopState'), (17.358548164367676, 'XCEncFinishState'), (17.573223114013672, 'XCEncQuitState'), (17.573294162750244, 'FinalState')]
18:[(0.9124510288238525, 'XCEncSettingsState'), (3.1703670024871826, 'XCEncLoopState'), (3.1704351902008057, 'XCEncPreRunState'), (3.182816982269287, 'XCEncRunState'), (13.851781129837036, 'XCEncDumpState'), (17.411468982696533, 'XCEncLoopState'), (17.41159701347351, 'XCEncFinishState'), (17.670562982559204, 'XCEncQuitState'), (17.670639038085938, 'FinalState')]
20:[(0.9998130798339844, 'XCEncSettingsState'), (2.2828359603881836, 'XCEncLoopState'), (2.282896041870117, 'XCEncPreRunState'), (2.2906830310821533, 'XCEncRunState'), (12.005537986755371, 'XCEncDumpState'), (15.389003992080688, 'XCEncLoopState'), (15.389086961746216, 'XCEncFinishState'), (15.669039011001587, 'XCEncQuitState'), (15.669159173965454, 'FinalState')]
