0:[(0.012871026992797852, 'XCEncSettingsState'), (1.5106210708618164, 'XCEncLoopState'), (1.5106780529022217, 'XCEncPreRunState'), (1.5195090770721436, 'XCEncRunState'), (6.7492311000823975, 'XCEncDumpState'), (9.3504638671875, 'XCEncLoopState'), (9.350598096847534, 'XCEncFinishState'), (9.517760038375854, 'XCEncQuitState'), (9.51791787147522, 'FinalState')]
2:[(0.02114391326904297, 'XCEncSettingsState'), (1.4520249366760254, 'XCEncLoopState'), (1.4520790576934814, 'XCEncPreRunState'), (1.4641718864440918, 'XCEncRunState'), (6.8630900382995605, 'XCEncDumpState'), (9.712356090545654, 'XCEncLoopState'), (9.712491989135742, 'XCEncFinishState'), (9.902302026748657, 'XCEncQuitState'), (9.902435064315796, 'FinalState')]
4:[(0.02167797088623047, 'XCEncSettingsState'), (1.1378130912780762, 'XCEncLoopState'), (1.1379330158233643, 'XCEncPreRunState'), (1.1450819969177246, 'XCEncRunState'), (6.4667088985443115, 'XCEncDumpState'), (9.188705921173096, 'XCEncLoopState'), (9.18886399269104, 'XCEncFinishState'), (9.408968925476074, 'XCEncQuitState'), (9.40913200378418, 'FinalState')]
6:[(0.06716299057006836, 'XCEncSettingsState'), (1.1891670227050781, 'XCEncLoopState'), (1.1892850399017334, 'XCEncPreRunState'), (1.2013630867004395, 'XCEncRunState'), (6.593699932098389, 'XCEncDumpState'), (9.307581901550293, 'XCEncLoopState'), (9.307777881622314, 'XCEncFinishState'), (9.477545976638794, 'XCEncQuitState'), (9.477695941925049, 'FinalState')]
8:[(0.08755302429199219, 'XCEncSettingsState'), (1.2417619228363037, 'XCEncLoopState'), (1.241852045059204, 'XCEncPreRunState'), (1.2635829448699951, 'XCEncRunState'), (6.938401937484741, 'XCEncDumpState'), (9.799568891525269, 'XCEncLoopState'), (9.799684047698975, 'XCEncFinishState'), (10.0397310256958, 'XCEncQuitState'), (10.039854049682617, 'FinalState')]
10:[(0.14511895179748535, 'XCEncSettingsState'), (1.5311110019683838, 'XCEncLoopState'), (1.5311779975891113, 'XCEncPreRunState'), (1.5402450561523438, 'XCEncRunState'), (6.8071489334106445, 'XCEncDumpState'), (9.543792009353638, 'XCEncLoopState'), (9.543942928314209, 'XCEncFinishState'), (9.743880033493042, 'XCEncQuitState'), (9.744025945663452, 'FinalState')]
12:[(0.21144890785217285, 'XCEncSettingsState'), (1.3436200618743896, 'XCEncLoopState'), (1.3437089920043945, 'XCEncPreRunState'), (1.3541619777679443, 'XCEncRunState'), (6.895781993865967, 'XCEncDumpState'), (9.778719902038574, 'XCEncLoopState'), (9.778867959976196, 'XCEncFinishState'), (10.080180883407593, 'XCEncQuitState'), (10.080344915390015, 'FinalState')]
14:[(0.2117938995361328, 'XCEncSettingsState'), (1.3195278644561768, 'XCEncLoopState'), (1.3196029663085938, 'XCEncPreRunState'), (1.3241000175476074, 'XCEncRunState'), (6.522309064865112, 'XCEncDumpState'), (9.189138889312744, 'XCEncLoopState'), (9.189270973205566, 'XCEncFinishState'), (9.371135950088501, 'XCEncQuitState'), (9.371265888214111, 'FinalState')]
16:[(0.22820687294006348, 'XCEncSettingsState'), (1.4460868835449219, 'XCEncLoopState'), (1.4461450576782227, 'XCEncPreRunState'), (1.452199935913086, 'XCEncRunState'), (6.84842586517334, 'XCEncDumpState'), (9.605110883712769, 'XCEncLoopState'), (9.605259895324707, 'XCEncFinishState'), (10.023990869522095, 'XCEncQuitState'), (10.024120092391968, 'FinalState')]
18:[(0.23348593711853027, 'XCEncSettingsState'), (2.867867946624756, 'XCEncLoopState'), (2.8679609298706055, 'XCEncPreRunState'), (2.8741378784179688, 'XCEncRunState'), (8.128154993057251, 'XCEncDumpState'), (10.851711988449097, 'XCEncLoopState'), (10.851953983306885, 'XCEncFinishState'), (11.143292903900146, 'XCEncQuitState'), (11.143428087234497, 'FinalState')]
20:[(0.28229403495788574, 'XCEncSettingsState'), (1.3703219890594482, 'XCEncLoopState'), (1.3703749179840088, 'XCEncPreRunState'), (1.3756020069122314, 'XCEncRunState'), (6.736929893493652, 'XCEncDumpState'), (9.44306206703186, 'XCEncLoopState'), (9.443259000778198, 'XCEncFinishState'), (9.661865949630737, 'XCEncQuitState'), (9.662030935287476, 'FinalState')]
22:[(0.2966420650482178, 'XCEncSettingsState'), (1.4225029945373535, 'XCEncLoopState'), (1.4225590229034424, 'XCEncPreRunState'), (1.4277698993682861, 'XCEncRunState'), (6.8275980949401855, 'XCEncDumpState'), (9.589231967926025, 'XCEncLoopState'), (9.589359998703003, 'XCEncFinishState'), (9.776148080825806, 'XCEncQuitState'), (9.77629804611206, 'FinalState')]
24:[(0.30480194091796875, 'XCEncSettingsState'), (3.3643269538879395, 'XCEncLoopState'), (3.3643760681152344, 'XCEncPreRunState'), (3.370076894760132, 'XCEncRunState'), (13.351113080978394, 'XCEncDumpState'), (19.023072957992554, 'XCEncLoopState'), (19.023247957229614, 'XCEncFinishState'), (19.276751041412354, 'XCEncQuitState'), (19.27689504623413, 'FinalState')]
26:[(0.3217589855194092, 'XCEncSettingsState'), (1.4439420700073242, 'XCEncLoopState'), (1.4439990520477295, 'XCEncPreRunState'), (1.4482500553131104, 'XCEncRunState'), (5.100022077560425, 'XCEncDumpState'), (6.907799959182739, 'XCEncLoopState'), (6.908044099807739, 'XCEncFinishState'), (7.114621877670288, 'XCEncQuitState'), (7.114799976348877, 'FinalState')]
28:[(0.3294670581817627, 'XCEncSettingsState'), (1.464224100112915, 'XCEncLoopState'), (1.4642798900604248, 'XCEncPreRunState'), (1.4713208675384521, 'XCEncRunState'), (6.943029880523682, 'XCEncDumpState'), (9.67846393585205, 'XCEncLoopState'), (9.6785888671875, 'XCEncFinishState'), (9.843859910964966, 'XCEncQuitState'), (9.843980073928833, 'FinalState')]
30:[(0.33273887634277344, 'XCEncSettingsState'), (1.4957690238952637, 'XCEncLoopState'), (1.4958429336547852, 'XCEncPreRunState'), (1.501013994216919, 'XCEncRunState'), (7.073582887649536, 'XCEncDumpState'), (9.92752194404602, 'XCEncLoopState'), (9.927665948867798, 'XCEncFinishState'), (10.115982055664062, 'XCEncQuitState'), (10.116116046905518, 'FinalState')]
32:[(0.3821120262145996, 'XCEncSettingsState'), (1.6296370029449463, 'XCEncLoopState'), (1.629694938659668, 'XCEncPreRunState'), (1.6366150379180908, 'XCEncRunState'), (6.960192918777466, 'XCEncDumpState'), (9.687648057937622, 'XCEncLoopState'), (9.687768936157227, 'XCEncFinishState'), (9.982369899749756, 'XCEncQuitState'), (9.982513904571533, 'FinalState')]
34:[(0.39153409004211426, 'XCEncSettingsState'), (2.017371892929077, 'XCEncLoopState'), (2.017425060272217, 'XCEncPreRunState'), (2.021328926086426, 'XCEncRunState'), (7.225751876831055, 'XCEncDumpState'), (9.751753091812134, 'XCEncLoopState'), (9.75189208984375, 'XCEncFinishState'), (9.908253908157349, 'XCEncQuitState'), (9.908423900604248, 'FinalState')]
36:[(0.39476609230041504, 'XCEncSettingsState'), (1.5472369194030762, 'XCEncLoopState'), (1.5472970008850098, 'XCEncPreRunState'), (1.551516056060791, 'XCEncRunState'), (20.10268807411194, 'XCEncDumpState'), (24.353933095932007, 'XCEncLoopState'), (24.35400891304016, 'XCEncFinishState'), (24.717807054519653, 'XCEncQuitState'), (24.718004941940308, 'FinalState')]
38:[(0.402846097946167, 'XCEncSettingsState'), (1.5480310916900635, 'XCEncLoopState'), (1.5480868816375732, 'XCEncPreRunState'), (1.554624080657959, 'XCEncRunState'), (21.166786909103394, 'XCEncDumpState'), (24.64313507080078, 'XCEncLoopState'), (24.643264055252075, 'XCEncFinishState'), (25.106229066848755, 'XCEncQuitState'), (25.10639786720276, 'FinalState')]
40:[(0.4845759868621826, 'XCEncSettingsState'), (2.455657958984375, 'XCEncLoopState'), (2.4557249546051025, 'XCEncPreRunState'), (2.46389102935791, 'XCEncRunState'), (23.55704402923584, 'XCEncDumpState'), (26.351022005081177, 'XCEncLoopState'), (26.351114988327026, 'XCEncFinishState'), (26.687692880630493, 'XCEncQuitState'), (26.68780207633972, 'FinalState')]
42:[(0.4906790256500244, 'XCEncSettingsState'), (1.7064869403839111, 'XCEncLoopState'), (1.7065808773040771, 'XCEncPreRunState'), (1.715522050857544, 'XCEncRunState'), (21.108094930648804, 'XCEncDumpState'), (23.848269939422607, 'XCEncLoopState'), (23.848350048065186, 'XCEncFinishState'), (24.177129983901978, 'XCEncQuitState'), (24.177270889282227, 'FinalState')]
44:[(0.504486083984375, 'XCEncSettingsState'), (1.6298608779907227, 'XCEncLoopState'), (1.6299259662628174, 'XCEncPreRunState'), (1.6366748809814453, 'XCEncRunState'), (20.04536008834839, 'XCEncDumpState'), (22.954503059387207, 'XCEncLoopState'), (22.954626083374023, 'XCEncFinishState'), (23.27859091758728, 'XCEncQuitState'), (23.278748035430908, 'FinalState')]
46:[(0.5254380702972412, 'XCEncSettingsState'), (1.8118948936462402, 'XCEncLoopState'), (1.8119640350341797, 'XCEncPreRunState'), (1.8169679641723633, 'XCEncRunState'), (20.768204927444458, 'XCEncDumpState'), (24.640367031097412, 'XCEncLoopState'), (24.64054298400879, 'XCEncFinishState'), (25.022006034851074, 'XCEncQuitState'), (25.02217197418213, 'FinalState')]
