0:[(0.5088181495666504, 'DumpSSIMRetrieveState'), (0.7876710891723633, 'DumpSSIMState'), (145.55260705947876, 'FinalState')]
4:[(1.1558680534362793, 'DumpSSIMRetrieveState'), (1.9876961708068848, 'DumpSSIMState'), (133.8634660243988, 'FinalState')]
8:[(1.1576781272888184, 'DumpSSIMRetrieveState'), (1.5528090000152588, 'DumpSSIMState'), (155.59253120422363, 'FinalState')]
12:[(1.1614811420440674, 'DumpSSIMRetrieveState'), (3.0307559967041016, 'DumpSSIMState'), (170.96988320350647, 'FinalState')]
16:[(1.1616690158843994, 'DumpSSIMRetrieveState'), (1.8154900074005127, 'DumpSSIMState'), (135.64927315711975, 'FinalState')]
20:[(1.1618280410766602, 'DumpSSIMRetrieveState'), (4.386245012283325, 'DumpSSIMState'), (164.183167219162, 'FinalState')]
24:[(1.1638970375061035, 'DumpSSIMRetrieveState'), (1.8313331604003906, 'DumpSSIMState'), (142.86307406425476, 'FinalState')]
28:[(1.164910078048706, 'DumpSSIMRetrieveState'), (4.147557020187378, 'DumpSSIMState'), (133.9692461490631, 'FinalState')]
32:[(1.1705150604248047, 'DumpSSIMRetrieveState'), (1.9981369972229004, 'DumpSSIMState'), (158.69975399971008, 'FinalState')]
36:[(1.180941104888916, 'DumpSSIMRetrieveState'), (2.091628074645996, 'DumpSSIMState'), (88.21431803703308, 'FinalState')]
40:[(1.1931040287017822, 'DumpSSIMRetrieveState'), (1.6579961776733398, 'DumpSSIMState'), (140.2442910671234, 'FinalState')]
44:[(1.2011082172393799, 'DumpSSIMRetrieveState'), (2.787198066711426, 'DumpSSIMState'), (133.15864419937134, 'FinalState')]
48:[(1.208388090133667, 'DumpSSIMRetrieveState'), (1.7500531673431396, 'DumpSSIMState'), (128.05236315727234, 'FinalState')]
52:[(1.2092561721801758, 'DumpSSIMRetrieveState'), (4.595961093902588, 'DumpSSIMState'), (146.31930804252625, 'FinalState')]
56:[(1.213015079498291, 'DumpSSIMRetrieveState'), (3.2514610290527344, 'DumpSSIMState'), (132.40861916542053, 'FinalState')]
60:[(1.2137041091918945, 'DumpSSIMRetrieveState'), (3.123711109161377, 'DumpSSIMState'), (77.60259509086609, 'FinalState')]
64:[(1.2170372009277344, 'DumpSSIMRetrieveState'), (2.851807117462158, 'DumpSSIMState'), (139.65283107757568, 'FinalState')]
68:[(1.2200632095336914, 'DumpSSIMRetrieveState'), (2.3723230361938477, 'DumpSSIMState'), (149.6663601398468, 'FinalState')]
72:[(1.226025104522705, 'DumpSSIMRetrieveState'), (2.1695921421051025, 'DumpSSIMState'), (143.33954906463623, 'FinalState')]
76:[(1.2291741371154785, 'DumpSSIMRetrieveState'), (2.071146011352539, 'DumpSSIMState'), (139.6809961795807, 'FinalState')]
80:[(1.229858160018921, 'DumpSSIMRetrieveState'), (1.8024451732635498, 'DumpSSIMState'), (130.8659691810608, 'FinalState')]
84:[(1.2327442169189453, 'DumpSSIMRetrieveState'), (2.067005157470703, 'DumpSSIMState'), (75.34980607032776, 'FinalState')]
88:[(1.2356162071228027, 'DumpSSIMRetrieveState'), (2.1508591175079346, 'DumpSSIMState'), (137.5931670665741, 'FinalState')]
92:[(1.238361120223999, 'DumpSSIMRetrieveState'), (2.064099073410034, 'DumpSSIMState'), (131.8395290374756, 'FinalState')]
96:[(1.241089105606079, 'DumpSSIMRetrieveState'), (1.8128070831298828, 'DumpSSIMState'), (143.80364203453064, 'FinalState')]
100:[(1.243624210357666, 'DumpSSIMRetrieveState'), (2.218818187713623, 'DumpSSIMState'), (137.3818690776825, 'FinalState')]
104:[(1.2482011318206787, 'DumpSSIMRetrieveState'), (1.7649872303009033, 'DumpSSIMState'), (144.57385921478271, 'FinalState')]
108:[(1.2488970756530762, 'DumpSSIMRetrieveState'), (3.254887104034424, 'DumpSSIMState'), (159.97196507453918, 'FinalState')]
112:[(1.2515511512756348, 'DumpSSIMRetrieveState'), (1.892909049987793, 'DumpSSIMState'), (147.28579902648926, 'FinalState')]
116:[(1.2540380954742432, 'DumpSSIMRetrieveState'), (3.536546230316162, 'DumpSSIMState'), (133.92864513397217, 'FinalState')]
120:[(1.2583131790161133, 'DumpSSIMRetrieveState'), (1.8210060596466064, 'DumpSSIMState'), (138.48053002357483, 'FinalState')]
124:[(1.2608911991119385, 'DumpSSIMRetrieveState'), (1.8527090549468994, 'DumpSSIMState'), (149.58618712425232, 'FinalState')]
128:[(1.2614281177520752, 'DumpSSIMRetrieveState'), (1.7650530338287354, 'DumpSSIMState'), (127.23111200332642, 'FinalState')]
132:[(1.261930227279663, 'DumpSSIMRetrieveState'), (2.3177030086517334, 'DumpSSIMState'), (140.68797707557678, 'FinalState')]
136:[(1.2623610496520996, 'DumpSSIMRetrieveState'), (1.7307281494140625, 'DumpSSIMState'), (136.34018516540527, 'FinalState')]
140:[(1.2627441883087158, 'DumpSSIMRetrieveState'), (2.159198045730591, 'DumpSSIMState'), (136.08868622779846, 'FinalState')]
144:[(1.2652091979980469, 'DumpSSIMRetrieveState'), (1.773179054260254, 'DumpSSIMState'), (139.04299807548523, 'FinalState')]
148:[(1.2675161361694336, 'DumpSSIMRetrieveState'), (1.8306372165679932, 'DumpSSIMState'), (149.71558713912964, 'FinalState')]
152:[(1.2763671875, 'DumpSSIMRetrieveState'), (1.8069400787353516, 'DumpSSIMState'), (71.86751103401184, 'FinalState')]
156:[(1.2871191501617432, 'DumpSSIMRetrieveState'), (2.1148860454559326, 'DumpSSIMState'), (120.95653200149536, 'FinalState')]
160:[(1.2929050922393799, 'DumpSSIMRetrieveState'), (2.0547850131988525, 'DumpSSIMState'), (136.79518699645996, 'FinalState')]
164:[(1.2936921119689941, 'DumpSSIMRetrieveState'), (5.079822063446045, 'DumpSSIMState'), (133.2423961162567, 'FinalState')]
168:[(1.296929121017456, 'DumpSSIMRetrieveState'), (2.1783511638641357, 'DumpSSIMState'), (132.52695202827454, 'FinalState')]
172:[(1.297457218170166, 'DumpSSIMRetrieveState'), (4.671489000320435, 'DumpSSIMState'), (145.98239707946777, 'FinalState')]
176:[(1.2981672286987305, 'DumpSSIMRetrieveState'), (1.6670331954956055, 'DumpSSIMState'), (128.75813817977905, 'FinalState')]
180:[(1.298802137374878, 'DumpSSIMRetrieveState'), (2.2536160945892334, 'DumpSSIMState'), (132.83631801605225, 'FinalState')]
184:[(1.3041210174560547, 'DumpSSIMRetrieveState'), (2.3237011432647705, 'DumpSSIMState'), (133.52932715415955, 'FinalState')]
188:[(1.3118531703948975, 'DumpSSIMRetrieveState'), (1.7762300968170166, 'DumpSSIMState'), (156.5875701904297, 'FinalState')]
192:[(1.3149540424346924, 'DumpSSIMRetrieveState'), (1.66145920753479, 'DumpSSIMState'), (130.57401418685913, 'FinalState')]
196:[(1.3179600238800049, 'DumpSSIMRetrieveState'), (3.381955146789551, 'DumpSSIMState'), (129.3761851787567, 'FinalState')]
